brand,model,rating,price_usd
2,6,3.0,326.46
1,10,1.0,1050.05
3,7,5.0,968.97
6,17,4.0,458.64
4,16,5.0,594.97
0,21,3.0,1360.35
3,8,1.0,958.72
0,18,5.0,1.0
1,11,4.0,959.09
1,10,3.0,772.97
2,0,4.0,254.43
5,2,5.0,827.54
6,5,3.0,366.65
3,8,4.0,560.04
3,8,3.0,622.31
6,5,3.0,289.26
4,15,2.0,181.65
3,7,3.0,361.72
2,6,3.0,492.42
5,3,4.0,772.31
2,6,3.0,556.1
4,16,3.0,566.42
1,11,3.0,981.9
4,15,4.0,253.29
0,20,5.0,1071.05
5,1,5.0,1328.37
4,15,4.0,544.44
0,19,3.0,1000.95
1,11,2.0,870.86
3,8,5.0,649.46
4,15,5.0,397.65
1,11,4.0,598.56
4,16,4.0,373.04
6,13,3.0,420.3
3,7,1.0,578.95
5,2,4.0,662.2679738562091
1,10,4.0,817.72
0,21,4.0,732.87
1,10,4.0,855.5
0,18,3.0,720.67
1,11,2.0,1007.2
1,12,4.0,545.25
1,12,2.0,801.67
1,10,2.0,752.15
6,17,3.0,534.58
3,8,2.0,948.49
1,10,2.0,822.12
2,14,2.0,443.82
1,12,2.0,1044.12
3,8,3.0,912.25
6,17,4.0,572.22
4,16,3.0,336.52
2,0,5.0,381.66
3,7,4.0,887.93
4,15,2.0,280.01
4,15,3.0,180.6
6,17,2.0,635.01
6,13,1.0,564.62
1,12,4.0,1076.97
6,17,4.0,206.41
3,7,3.0,488.8
0,19,2.0,768.33
6,5,2.0,654.5
4,16,4.0,440.4
0,21,2.0,986.58
6,13,2.0,408.04
5,1,2.0,610.28
2,6,4.0,768.57
4,15,1.0,276.04
6,17,2.0,263.23
6,5,2.0,574.34
2,0,4.0,572.9
4,16,5.0,281.32
3,7,4.0,989.81
2,14,4.0,759.59
4,15,4.0,432.4
4,15,2.0,447.71
6,5,2.0,245.47
0,21,1.0,861.12
1,11,2.0,1044.85
1,10,4.0,666.89
5,1,4.0,1174.67
4,15,2.0,312.06
6,13,2.0,441.51
4,15,1.0,507.64
5,2,2.0,1166.16
3,9,4.0,646.61
4,15,3.0,365.81
5,2,2.0,447.06
5,3,3.0,443.88
6,17,2.0,681.96
5,2,4.0,540.5
1,11,2.0,795.67
0,20,3.0,990.07
3,8,2.0,722.77
2,6,3.0,225.32
2,0,3.0,579.96
5,2,3.0,1375.87
2,14,5.0,442.71
6,5,5.0,557.0600000000001
2,14,4.0,326.22
1,12,5.0,762.29
6,13,1.0,367.07
2,6,2.0,776.85
5,1,3.0,472.57
3,9,2.0,423.36
6,5,4.0,506.3405994550409
2,14,4.0,436.21
3,9,4.0,680.13
0,20,2.0,834.88
6,17,4.0,237.09
5,1,5.0,713.18
2,0,1.0,464.26
2,0,4.0,470.01
0,18,2.0,758.6
5,2,2.0,1042.8
0,18,3.0,742.75
0,19,3.0,1404.88
5,3,3.0,431.06
3,7,2.0,836.36
1,12,3.0,862.25
1,11,1.0,648.32
3,7,4.0,533.65
5,1,4.0,1279.2
1,10,3.0,1062.11
1,11,1.0,770.98
1,12,2.0,773.4
5,1,4.0,413.64
1,10,4.0,533.2
4,16,4.0,525.51
4,16,2.0,293.03
4,16,3.0,282.82
5,1,1.0,1221.8
0,18,2.0,1005.13
6,17,4.0,639.44
5,3,3.0,838.67
4,15,4.0,229.06
6,5,3.0,310.62
3,7,2.0,613.95
4,15,1.0,293.98
3,8,5.0,502.41
6,17,5.0,443.03
6,13,4.0,652.66
5,3,4.0,642.18
4,16,1.0,233.31
1,10,3.0,572.16
0,21,3.0,1454.42
4,16,4.0,467.93
6,5,4.0,247.38
3,8,3.0,725.18
5,2,2.0,557.66
2,14,4.0,530.7894736842105
2,14,2.0,626.1
1,12,4.0,551.36
1,10,4.0,738.85
5,1,2.0,1017.69
5,1,3.0,670.67
6,13,4.0,612.65
2,14,2.0,480.65
1,10,4.0,818.52
3,9,4.0,634.07
0,18,2.0,1176.04
0,20,3.0,893.2
3,8,3.0,434.72
2,14,3.0,307.8
2,6,5.0,585.7
2,6,3.0,332.08
2,0,2.0,348.76
1,12,2.0,781.19
0,20,1.0,1176.95
1,11,3.0,1.0
6,17,5.0,593.67
4,15,3.0,564.13
2,0,4.0,435.9
1,12,3.0,807.85
2,0,4.0,470.9275362318841
6,5,5.0,207.5
4,16,3.0,351.88
1,11,2.0,554.68
4,16,2.0,549.78
2,0,4.0,498.59
4,15,3.0,273.64
6,13,2.0,452.21
3,7,2.0,553.61
1,11,2.0,605.65
5,2,3.0,453.93
4,16,4.0,386.59
6,17,3.0,586.44
1,12,1.0,584.39
5,1,5.0,1167.86
2,0,5.0,795.68
0,20,3.0,1436.16
6,17,4.0,544.91
6,5,3.0,409.0
0,21,2.0,955.72
5,2,4.0,978.59
3,8,3.0,663.88
4,16,4.0,275.52
3,8,2.0,725.02
5,3,3.0,956.81
6,13,3.0,414.8
4,15,5.0,472.53
0,21,3.0,1279.93
3,9,3.0,514.75
6,17,3.0,374.12
5,1,3.0,430.02
3,8,1.0,949.62
3,8,3.0,831.51
2,14,2.0,439.42
4,15,3.0,573.36
3,9,5.0,649.67
3,7,4.0,779.63
0,18,3.0,1097.72
3,7,2.0,526.09
6,5,3.0,538.07
4,15,4.0,571.8
0,20,2.0,1428.64
2,6,5.0,756.76
6,5,2.0,221.17
4,15,4.0,520.5
6,5,4.0,239.89
1,11,1.0,797.03
5,2,3.0,749.86
6,17,3.0,671.15
0,20,1.0,1206.14
0,20,2.0,978.19
1,10,5.0,670.91
3,9,2.0,545.43
1,11,3.0,504.86
0,21,4.0,1303.15
5,4,2.0,588.87
5,3,2.0,1370.57
4,16,4.0,545.93
0,20,1.0,1434.55
1,10,4.0,611.79
1,12,1.0,778.21
1,11,3.0,693.4
3,9,2.0,735.55
6,13,3.0,452.38
4,15,3.0,205.83
4,15,4.0,350.76
1,10,2.0,963.5
2,0,3.0,633.39
5,2,4.0,1095.35
4,16,3.0,508.61
0,18,5.0,731.4
6,5,4.0,453.7
5,4,3.0,1143.5
3,9,3.0,643.09
0,20,1.0,810.62
5,2,3.0,418.36
0,18,1.0,1160.42
2,14,3.0,797.1
1,12,4.0,651.71
6,13,3.0,569.4
4,16,4.0,447.281045751634
1,11,5.0,1097.31
1,12,1.0,844.38
6,5,4.0,413.91
6,5,3.0,536.7
0,18,2.0,1274.21
2,14,4.0,563.85
4,15,3.0,275.53
0,19,3.0,901.05
2,0,3.0,649.78
6,5,3.0,607.91
0,19,5.0,1185.81
1,12,2.0,644.08
6,17,4.0,660.98
3,7,3.0,374.54
0,18,4.0,1486.36
1,10,1.0,723.2
5,4,3.0,661.2
5,3,2.0,1290.67
6,13,5.0,207.24
4,16,1.0,202.31
0,21,3.0,1432.38
1,10,3.0,875.99
2,6,2.0,281.74
4,16,3.0,315.01
6,5,3.0,539.47
5,3,4.0,1231.42
4,15,4.0,197.0
6,13,3.0,661.12
6,13,3.0,249.33
4,16,4.0,561.47
0,18,3.0,859.78
1,10,4.0,1015.29
5,3,2.0,472.35
1,11,1.0,778.87
4,16,2.0,234.79
1,10,5.0,595.31
1,11,2.0,750.96
6,5,4.0,618.86
0,21,3.0,1015.41
4,15,4.0,334.93
4,16,5.0,384.64
0,18,4.0,729.8
0,18,4.0,1053.99
6,13,3.0,235.5
6,5,3.0,506.24
2,0,3.0,649.99
1,12,4.0,994.23
5,4,4.0,1100.19
1,12,5.0,708.96
1,12,4.0,720.99
4,16,2.0,554.41
0,20,3.0,1405.64
3,7,1.0,851.67
1,10,3.0,979.21
4,16,5.0,592.46
3,9,4.0,357.25
2,0,3.0,653.93
1,10,2.0,770.93
4,15,4.0,256.71
0,18,5.0,1177.88
2,0,3.0,331.99
5,2,3.0,1237.24
1,10,4.0,757.85
4,16,1.0,234.1
3,8,2.0,437.38
3,8,4.0,754.41
3,7,4.0,601.74
4,15,4.0,270.69
1,11,5.0,890.79
6,5,1.0,296.02
1,12,3.0,1057.47
1,10,3.0,846.15
2,6,1.0,555.3106267029973
0,20,4.0,1151.27
1,10,1.0,1071.81
4,16,3.0,421.26
5,2,5.0,423.09
4,15,4.0,200.63
2,14,1.0,691.5
4,16,5.0,319.57
1,11,4.0,893.47
3,9,1.0,819.6014492753624
6,13,3.0,354.96
6,17,1.0,531.36
6,13,4.0,304.37
5,2,4.0,1390.19
3,8,1.0,667.24
3,9,4.0,779.73
4,15,1.0,475.1
5,1,1.0,630.97
5,2,2.0,1297.04
0,20,1.0,863.57
6,13,1.0,322.66
1,10,4.0,898.61
2,14,3.0,413.71
3,9,4.0,717.78
6,13,5.0,396.38
1,11,5.0,1059.78
3,7,4.0,533.51
2,6,3.0,703.74
5,1,4.0,498.77
0,19,4.0,1080.23
1,12,1.0,998.98
3,8,4.0,625.4
1,12,3.0,629.29
2,6,5.0,299.32
4,15,4.0,347.41
3,9,1.0,811.06
3,9,2.0,876.55
1,12,1.0,652.22
2,6,3.0,372.0
5,3,2.0,444.56
6,17,3.0,307.54
6,13,4.0,684.91
2,6,1.0,242.82
0,20,2.0,1020.53
5,3,3.0,1214.79
4,16,5.0,321.42
5,2,4.0,1347.6
4,15,3.0,388.11
0,20,2.0,760.77
0,18,2.0,783.1
5,4,4.0,722.33
3,8,5.0,717.44
5,2,1.0,1041.57
3,8,4.0,996.63
0,19,4.0,1448.76
5,1,1.0,993.65
0,21,1.0,1347.28
3,7,3.0,490.85
3,7,3.0,569.025641025641
1,11,4.0,1055.93
3,7,3.0,363.67
6,5,4.0,264.47
6,13,5.0,638.88
3,7,3.0,695.9
2,14,4.0,664.21
0,19,4.0,756.65
5,3,3.0,1251.0899182561309
4,16,3.0,296.66
0,18,1.0,1481.79
3,7,3.0,846.74
3,7,1.0,439.09
1,12,4.0,755.93
4,15,4.0,595.41
2,14,3.0,484.2679738562091
5,1,4.0,477.65
1,11,3.0,1092.79
2,6,3.0,628.47
1,10,4.0,907.7
6,5,5.0,364.18
5,2,3.0,1392.04
0,21,2.0,779.81
5,2,3.0,1389.87
0,20,1.0,1028.27
6,13,4.0,655.21
6,17,2.0,204.15
6,17,2.0,692.82
0,21,4.0,1229.53
5,3,2.0,1033.11
2,6,3.0,747.05
4,15,4.0,497.4
2,14,5.0,446.74
6,13,3.0,522.96
2,6,4.0,747.95
6,5,1.0,581.12
2,6,2.0,398.19
1,12,4.0,538.48
5,3,4.0,1054.91
2,6,4.0,555.0
0,21,4.0,762.95
2,6,1.0,606.91
6,13,2.0,260.88
2,14,2.0,659.04
0,20,5.0,1256.38
5,4,5.0,661.07
0,18,2.0,1431.73
0,18,5.0,1028.83
0,21,3.0,1131.38
3,8,5.0,396.67
5,1,3.0,1321.4
1,10,2.0,1001.57
3,7,4.0,647.04
1,10,4.0,630.68
5,4,2.0,491.31
1,10,2.0,751.92
4,15,3.0,337.98
5,1,3.0,692.72
1,11,1.0,990.25
3,8,2.0,415.75
4,16,3.0,501.12
5,1,3.0,549.64
5,1,1.0,734.25
2,14,5.0,775.01
6,17,4.0,369.78
1,10,3.0,1034.06
5,4,3.0,1339.48
5,2,5.0,569.88
6,17,2.0,410.38
5,4,4.0,435.16
4,15,4.0,374.94
6,13,2.0,205.05072463768118
4,15,3.0,590.42
0,20,1.0,733.89
3,7,2.0,714.34
6,5,3.0,686.97
5,1,3.0,569.66
2,6,2.0,664.56
4,16,4.0,318.98
0,18,5.0,1408.35
0,21,4.0,701.5
3,9,1.0,601.77
5,2,4.0,445.93
2,6,4.0,505.47
2,14,3.0,313.86
3,7,2.0,617.71
0,19,5.0,780.26
3,7,4.0,411.64
6,17,5.0,363.41
6,13,2.0,678.44
3,7,3.0,560.5
2,0,5.0,581.81
4,16,4.0,387.19
3,9,2.0,550.47
5,4,2.0,420.34
2,14,1.0,485.89
5,2,3.0,560.72
3,9,3.0,464.8
2,6,3.0,329.0
5,2,5.0,920.62
0,21,3.0,1327.6100000000001
2,6,3.0,293.27
3,9,5.0,750.86
6,5,1.0,312.99
2,0,4.0,529.8
0,21,5.0,1014.94
1,11,3.0,907.12
0,19,4.0,1307.19
5,2,4.0,429.78
1,11,3.0,622.56
0,20,4.0,1451.38
1,10,5.0,948.03
4,15,1.0,554.97
0,20,4.0,1216.08
5,2,3.0,401.42
2,6,2.0,737.61
3,9,3.0,902.19
1,12,3.0,1068.12
2,6,4.0,447.8
1,12,4.0,627.19
6,5,2.0,359.43
4,16,5.0,185.74
2,6,3.0,413.08
4,16,3.0,585.68
1,10,2.0,604.65
3,9,3.0,398.18
3,7,4.0,454.76344086021504
0,20,4.0,937.69
0,19,4.0,1112.84
6,13,2.0,541.42
6,13,5.0,681.56
6,5,4.0,286.56
5,3,3.0,1079.07
4,16,4.0,359.51
2,6,4.0,322.56
1,11,3.0,670.31
0,20,5.0,1221.58
1,11,3.0,991.66
1,11,4.0,580.92
1,10,4.0,979.22
4,16,1.0,516.26
6,13,3.0,567.56
3,8,3.0,533.62
3,8,5.0,619.64
2,14,5.0,284.45
0,21,3.0,774.06
0,19,2.0,1238.36
2,0,5.0,781.74
2,0,2.0,230.93
2,6,2.0,201.03
5,2,4.0,440.24
6,5,4.0,649.14
6,5,3.0,544.67
6,13,4.0,290.66
4,16,5.0,548.74
2,0,1.0,285.9032258064516
4,15,5.0,219.61
2,0,4.0,761.39
3,8,2.0,355.56
0,19,2.0,1190.13
0,18,3.0,1460.87
3,9,5.0,890.24
2,6,3.0,644.18
2,0,3.0,537.08
2,6,4.0,629.4
1,11,2.0,1059.47
5,3,3.0,896.03
1,10,2.0,697.44
4,15,3.0,233.1
6,13,3.0,692.52
2,14,4.0,331.8
0,21,4.0,771.21
3,7,1.0,670.29
4,15,1.0,549.29
3,7,4.0,861.54
4,15,3.0,237.58
5,4,3.0,585.57
1,11,4.0,997.64
6,17,3.0,470.46
5,1,2.0,1332.63
6,13,2.0,280.28
5,3,5.0,833.73
0,19,1.0,1156.52
6,5,1.0,439.85
1,12,5.0,1055.65
0,19,3.0,1146.16
1,12,3.0,813.26
6,17,5.0,369.29
0,21,2.0,1246.76
4,16,4.0,356.36
4,15,5.0,423.27
3,9,4.0,439.19
0,21,4.0,1288.84
0,18,5.0,1149.02
0,21,3.0,1498.62
2,6,1.0,430.90999999999997
5,1,1.0,442.35
4,16,4.0,347.42
5,3,4.0,585.58
2,0,4.0,663.88
0,20,4.0,1395.08
5,4,3.0,1143.86
0,19,2.0,1456.13
6,17,3.0,322.47
5,1,5.0,426.69
1,11,3.0,996.31
5,2,4.0,1258.01
5,3,5.0,1080.55
0,20,2.0,856.78
6,17,5.0,258.84
5,1,4.0,648.55
0,20,1.0,1128.41
0,20,5.0,738.17
4,16,3.0,597.48
1,12,3.0,618.01
1,10,3.0,609.56
1,10,3.0,1078.26
1,12,5.0,875.3
1,10,3.0,507.45
4,16,3.0,573.6521739130435
1,10,2.0,502.03
6,5,5.0,643.57
2,14,4.0,733.33
5,2,1.0,552.89
6,17,4.0,576.47
5,4,2.0,1015.05
3,8,2.0,654.08
4,16,3.0,523.34
6,13,4.0,454.29
5,2,4.0,952.71
5,2,3.0,692.01
4,16,3.0,595.68
0,21,2.0,910.8076923076923
1,10,5.0,985.23
1,12,4.0,808.99
2,0,3.0,373.31
1,11,2.0,1005.78
4,15,3.0,293.40054495912807
5,3,4.0,828.35
6,5,3.0,213.01
1,10,5.0,793.94
2,6,5.0,692.02
1,10,2.0,1011.41
3,9,3.0,732.89
6,13,2.0,328.54
2,6,4.0,257.39784946236557
5,3,3.0,507.01
3,8,3.0,945.94
6,17,1.0,370.77
3,7,3.0,429.45
6,13,2.0,556.48
3,9,1.0,432.98
4,15,3.0,199.1
1,10,3.0,796.75
4,16,2.0,561.21
1,12,1.0,738.61
3,8,3.0,957.07
0,21,3.0,1403.46
2,0,4.0,422.55
3,7,3.0,567.53
5,2,3.0,781.18
0,18,3.0,1484.0
1,10,2.0,930.31
2,0,1.0,792.39
5,4,3.0,1275.7
5,1,5.0,1263.19
0,20,4.0,990.09
0,18,4.0,1145.36
0,19,3.0,1382.1935483870968
5,1,1.0,634.06
1,11,1.0,1058.15
0,19,2.0,1328.24
0,19,4.0,753.75
5,4,5.0,975.37
5,1,3.0,1331.92
1,12,5.0,1061.87
0,21,1.0,736.58
4,16,4.0,407.88
5,3,2.0,1396.24
4,15,3.0,269.01929824561404
6,13,4.0,208.65
3,8,5.0,447.08
3,7,4.0,354.22
6,5,1.0,565.89
6,5,3.0,240.02
2,0,2.0,434.17
5,2,5.0,601.94
3,7,4.0,551.06
2,14,5.0,343.21
6,5,5.0,557.36
5,2,4.0,794.85
6,17,3.0,694.26
6,13,3.0,440.75
1,11,3.0,723.45
0,18,3.0,832.53
6,17,5.0,307.45
4,15,3.0,510.59
2,6,3.0,596.95
0,20,4.0,1092.84
1,12,3.0,957.9
0,20,2.0,784.51
5,2,4.0,670.89
2,14,4.0,584.82
6,17,1.0,223.81
0,20,1.0,1093.44
1,11,1.0,709.1
3,7,4.0,561.68
2,0,3.0,404.97
2,14,5.0,669.24
6,17,1.0,446.63
3,8,4.0,381.02898550724643
3,7,2.0,690.84
0,18,3.0,1419.49
6,13,3.0,394.22
3,9,4.0,445.65
2,0,4.0,207.31
3,7,4.0,731.78
4,15,3.0,446.04
2,6,3.0,696.21
6,17,5.0,626.52
6,5,5.0,505.68
4,15,2.0,580.16
3,8,4.0,523.77
4,15,4.0,381.25
4,16,5.0,492.43
0,20,4.0,706.03
3,8,2.0,927.9
2,0,4.0,673.59
2,6,5.0,786.39
0,21,4.0,1158.2
2,0,3.0,687.47
5,2,5.0,543.38
1,10,3.0,1077.36
6,5,4.0,651.06
2,6,3.0,680.25
6,13,3.0,317.08
4,15,1.0,557.27
0,20,4.0,877.85
5,3,2.0,1190.51
2,14,3.0,573.24
2,6,3.0,549.73
1,12,2.0,803.49
0,21,2.0,1475.52
1,10,1.0,795.45
4,16,3.0,273.08
0,19,3.0,1302.55
3,7,5.0,748.7299999999999
3,9,5.0,521.26
5,4,3.0,668.0
6,17,5.0,540.85
6,5,4.0,589.68
1,11,1.0,958.05
2,0,4.0,338.03
5,3,1.0,426.34
0,20,4.0,883.7900000000001
6,5,1.0,314.99
3,8,5.0,572.65
2,6,4.0,753.13
5,4,4.0,1009.56
0,21,2.0,1148.96
2,6,1.0,480.91
6,13,4.0,253.91
4,16,3.0,557.5
2,14,2.0,591.39
1,11,1.0,569.75
0,19,4.0,736.27
4,15,1.0,435.34
4,15,4.0,372.27
6,5,4.0,559.89
2,6,3.0,541.7
3,9,4.0,808.67
0,21,2.0,1337.28
3,8,4.0,921.99
1,12,1.0,945.07
0,20,4.0,1226.47
0,19,4.0,801.3
0,20,3.0,1350.73
1,11,3.0,712.68
