age,brand,model,price_usd,rating,sentiment,country,language,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,source,Cluster
22,6,13,351.56,4.0,2,2,0,1,3,4,4,3,2,9,1,1
35,0,21,1353.96,4.0,2,2,0,1,3,3,2,3,2,9,0,2
26,3,9,676.67,5.0,2,0,0,1,4,5,5,3,4,4,4,1
44,3,9,752.73,2.0,1,3,1,1,2,1,1,1,1,4,4,0
19,0,18,1199.12,4.0,2,2,0,1,3,3,4,3,2,4,4,2
33,2,14,449.69,4.0,2,3,1,1,2,4,3,4,4,4,2,1
18,5,2,724.68,2.0,1,4,2,1,1,1,1,2,2,4,1,0
23,1,11,652.7948717948718,3.0,0,6,0,0,3,3,4,4,3,1,4,0
26,3,9,682.94,2.0,1,5,0,1,2,1,1,3,1,1,1,0
37,3,9,463.17,5.0,2,7,0,1,5,4,3,5,4,5,0,1
30,4,15,515.46,4.0,2,6,0,1,4,5,4,4,5,4,3,1
31,0,20,1045.66,4.0,2,2,0,1,3,3,4,3,2,11,4,2
29,3,7,704.27,2.0,0,1,3,1,1,2,2,2,1,4,1,0
33,2,0,378.53,3.0,2,2,0,1,4,3,2,1,2,2,3,1
24,5,3,1133.07,2.0,1,6,0,1,1,2,3,1,1,1,0,0
18,6,5,638.33,1.0,0,4,2,1,1,1,1,2,2,0,4,0
24,0,18,1195.67,3.0,2,3,1,1,5,2,3,4,5,7,0,2
39,5,1,458.55,5.0,2,3,1,1,5,5,3,4,4,6,2,1
26,1,10,752.75,1.0,1,3,1,1,1,2,1,2,1,1,2,0
37,4,16,332.14,4.0,2,3,1,1,2,4,5,3,3,4,0,1
46,0,20,1282.35,4.0,2,0,0,1,3,3,4,3,4,4,3,2
27,4,15,298.52,4.0,2,3,1,1,3,3,3,5,3,3,3,1
32,6,13,405.55,4.0,2,5,0,0,4,4,4,3,3,5,4,1
33,4,16,417.44,4.0,2,7,0,1,3,3,3,3,4,5,2,1
29,4,15,477.29,4.0,2,6,0,1,3,2,3,3,5,4,2,1
22,4,16,518.69,3.0,2,4,2,1,2,2,3,4,3,6,2,1
30,0,20,752.16,3.0,2,4,2,1,4,3,3,5,4,7,3,2
28,1,11,880.75,3.0,1,5,0,1,1,3,3,3,3,3,0,0
32,5,2,602.02,4.0,2,5,0,1,4,3,2,3,4,10,0,1
55,2,0,297.34,5.0,2,6,0,1,5,5,5,4,5,7,1,1
20,5,3,894.21,1.0,0,5,0,1,1,1,1,1,1,1,2,0
45,1,10,770.21,3.0,1,3,1,0,3,2,3,2,2,3,3,0
35,6,13,287.44,2.0,0,6,0,0,1,2,1,2,3,1,0,0
31,4,15,193.94,4.0,2,7,0,1,4,4,4,5,4,6,0,1
28,3,8,597.26,3.0,0,3,1,0,1,1,1,1,1,3,4,0
24,1,11,1077.69,3.0,1,0,0,1,3,2,3,2,2,1,4,0
18,6,5,434.38,4.0,2,2,0,1,4,5,3,4,4,4,4,1
41,0,21,1335.66,4.0,2,5,0,0,3,4,4,4,4,7,3,2
46,6,17,503.54,3.0,1,6,0,1,3,3,1,2,2,4,1,0
28,2,6,503.76,2.0,1,7,0,1,1,1,1,1,2,1,3,0
40,6,13,458.29,3.0,2,6,0,1,2,3,5,3,2,3,2,1
40,3,7,574.4,3.0,2,1,3,0,3,3,2,2,4,6,0,1
46,6,5,518.2,4.0,2,5,0,1,4,3,3,1,3,3,3,1
34,4,16,213.68,4.0,2,2,0,0,2,5,3,4,4,5,1,1
29,6,17,466.98,4.0,2,3,1,1,3,3,2,3,4,6,1,1
19,3,9,629.46,2.0,1,0,0,1,1,3,2,2,1,2,4,0
19,1,10,923.35,2.0,1,6,0,1,1,1,1,1,2,1,4,0
27,1,10,887.49,2.0,1,2,0,1,1,1,2,3,1,3,4,0
35,4,16,383.95,4.0,2,5,0,0,4,3,3,3,3,1,4,1
27,3,7,841.54,4.0,2,6,0,0,4,3,5,4,3,4,0,1
27,3,7,702.11,3.0,1,1,3,0,4,1,2,1,2,3,3,0
53,6,5,269.6,4.0,2,7,0,1,4,4,5,5,3,3,0,1
32,3,7,976.62,1.0,2,3,1,1,2,1,1,1,1,2,0,0
29,2,14,477.61,2.0,0,4,2,0,1,3,1,1,1,3,2,0
35,2,0,788.44,5.0,2,0,0,1,5,5,5,4,4,7,3,1
26,4,15,443.17,1.0,0,4,2,1,2,1,1,1,1,2,2,0
24,4,15,582.13,3.0,2,7,0,1,3,3,3,3,2,7,3,1
24,5,1,807.54,4.0,2,0,0,0,4,3,4,4,3,4,2,1
22,2,6,441.72,4.0,2,3,1,1,3,4,3,3,1,6,1,1
18,5,1,1288.66,5.0,2,1,3,1,4,5,3,5,5,6,4,1
24,0,21,927.42,4.0,2,7,0,1,4,3,5,4,3,3,4,2
21,1,11,1003.6,5.0,2,0,0,1,4,4,3,4,4,7,0,2
44,1,11,796.29,3.0,2,2,0,0,5,5,5,5,5,4,2,1
30,4,16,331.22,1.0,0,7,0,0,1,1,1,1,2,2,2,0
36,6,17,436.14,1.0,0,7,0,1,1,1,1,1,1,3,2,0
36,4,16,479.55,4.0,2,6,0,0,3,3,4,2,4,1,0,1
27,6,5,368.67,3.0,2,4,2,1,3,1,3,5,4,1,3,1
41,2,6,778.1,3.0,2,7,0,1,3,3,3,3,3,2,2,1
18,5,3,693.31,3.0,1,5,0,1,3,3,1,3,3,2,0,0
18,0,19,752.56,4.0,2,0,0,1,3,5,4,4,2,5,3,2
45,0,18,1348.8985507246377,2.0,1,2,0,1,1,1,1,1,2,3,0,0
50,0,21,817.84,3.0,2,6,0,1,1,3,5,3,2,4,1,2
34,4,15,249.61,4.0,2,6,0,1,4,4,4,3,2,4,3,1
30,1,11,975.56,2.0,0,4,2,1,1,2,3,1,2,1,4,0
26,1,12,839.05,1.0,1,7,0,1,1,1,1,1,1,1,0,0
27,1,12,757.22,5.0,2,5,0,0,4,4,5,4,4,8,1,1
22,4,16,330.59945504087193,4.0,2,5,0,0,3,2,4,4,3,3,4,1
39,6,13,490.04,3.0,2,7,0,1,3,2,4,2,2,4,1,1
18,3,7,484.6,1.0,2,6,0,1,1,1,1,2,1,6,0,0
18,1,10,522.54,5.0,2,0,0,1,4,3,3,4,5,6,0,1
24,6,17,385.47,2.0,0,7,0,1,3,3,2,2,1,1,3,0
18,6,5,590.32,3.0,1,5,0,1,4,2,2,3,4,5,2,1
36,6,5,660.5,5.0,1,3,1,1,5,5,4,4,3,5,4,1
26,0,19,1457.67,3.0,2,7,0,1,3,3,2,2,1,6,2,2
32,2,0,717.58,4.0,2,4,2,1,5,3,3,2,2,8,4,1
34,3,7,788.11,3.0,2,1,3,1,1,1,1,4,2,3,2,1
28,0,18,1248.36,5.0,2,6,0,0,4,5,5,5,5,3,2,2
29,2,14,366.71,4.0,2,0,0,1,4,3,3,3,4,4,4,1
39,2,14,489.82,5.0,2,4,2,1,3,5,5,4,5,4,2,1
18,4,16,186.35,2.0,0,0,0,1,2,3,1,1,3,1,3,0
35,1,10,592.9,2.0,0,1,3,1,2,2,1,3,3,1,1,0
29,0,18,1166.34,4.0,2,1,3,1,5,3,4,2,3,5,4,2
47,3,7,820.24,4.0,2,0,0,0,5,2,4,3,4,3,3,1
21,5,3,648.38,3.0,2,7,0,1,2,2,3,4,2,11,4,1
40,1,11,722.67,2.0,0,1,3,1,4,1,1,2,2,3,1,0
22,3,9,808.55,5.0,2,7,0,1,4,5,4,4,5,3,2,1
18,0,18,1311.55,2.0,2,1,3,1,2,1,1,2,2,4,2,2
35,5,1,649.96,2.0,2,3,1,1,3,1,1,3,1,6,4,1
39,4,16,261.4230769230769,1.0,0,6,0,1,1,1,1,3,1,1,3,0
27,1,10,607.55,2.0,1,0,0,0,2,2,1,2,1,0,1,0
18,6,17,311.18,3.0,2,5,0,1,3,2,2,2,2,8,4,1
39,6,13,450.06,4.0,2,1,3,1,2,4,3,4,3,5,2,1
56,5,4,819.27,4.0,2,0,0,0,2,5,4,4,5,7,3,1
29,6,13,627.49,1.0,0,1,3,1,2,1,1,1,1,1,2,0
42,4,16,452.29,2.0,2,2,0,1,1,1,2,1,1,3,1,0
18,1,10,933.64,3.0,1,2,0,1,2,2,3,3,2,5,3,2
44,5,3,540.32,3.0,1,6,0,1,3,2,2,3,3,6,3,1
39,2,14,293.89,3.0,2,7,0,1,2,1,2,2,3,3,0,1
41,2,14,429.68,1.0,0,5,0,0,1,1,1,1,1,2,2,0
18,5,4,590.93,3.0,1,7,0,1,3,1,3,3,2,0,2,0
25,1,12,919.37,4.0,2,0,0,1,3,3,4,3,4,10,4,1
36,0,19,753.8,5.0,2,0,0,1,3,4,4,4,5,3,1,2
33,1,10,958.61,4.0,1,1,3,1,5,5,5,4,5,5,1,2
18,6,13,314.44,3.0,1,2,0,1,3,3,2,3,4,3,3,1
40,0,20,1100.29,2.0,1,7,0,1,3,1,1,3,3,1,3,0
33,0,18,1064.14,2.0,1,5,0,1,3,2,2,2,2,2,3,0
31,3,9,722.19,4.0,2,3,1,1,4,2,5,3,3,9,0,1
30,0,21,1342.11,2.0,0,7,0,1,3,1,1,1,2,1,4,0
23,3,9,600.64,4.0,2,6,0,1,3,2,3,2,3,4,3,1
31,3,9,516.7,4.0,2,1,3,1,4,3,3,3,3,5,4,1
29,4,16,240.51,2.0,1,6,0,1,1,1,1,2,1,0,4,0
46,1,11,751.16,3.0,2,4,2,1,5,4,3,4,5,7,3,1
27,3,9,894.85,4.0,2,2,0,1,5,3,2,3,4,5,2,1
38,2,0,586.85,2.0,2,4,2,1,1,2,1,2,1,6,3,1
22,5,1,774.55,2.0,1,6,0,1,1,3,2,1,2,2,3,0
33,6,13,637.04,4.0,2,3,1,1,5,4,3,2,3,3,2,1
29,2,6,324.52,4.0,2,2,0,1,4,5,3,3,2,7,2,1
32,2,6,322.67,5.0,2,1,3,0,5,5,4,5,5,3,3,1
32,2,6,469.42,4.0,2,4,2,1,3,3,3,5,3,5,1,1
28,4,15,417.63,1.0,0,3,1,1,2,1,1,1,1,2,0,0
21,5,4,717.55,2.0,0,7,0,0,2,2,3,1,1,1,1,0
28,6,17,371.69,2.0,0,1,3,1,2,1,2,1,1,6,1,0
36,3,8,386.14,3.0,2,4,2,0,1,1,1,2,3,3,2,0
47,2,0,405.26,4.0,2,6,0,0,3,2,4,2,2,8,4,1
18,4,15,455.95,1.0,0,5,0,0,1,1,1,1,3,0,1,0
23,3,8,987.37,4.0,2,6,0,1,4,5,2,4,3,2,2,1
35,5,2,1092.01,4.0,2,7,0,1,2,4,2,5,3,6,0,1
29,6,17,242.34,5.0,2,7,0,1,4,3,5,5,4,6,0,1
34,5,1,875.6,2.0,2,3,1,1,1,2,2,1,2,5,3,1
26,1,11,712.8,3.0,1,6,0,0,3,4,1,2,2,3,1,0
33,1,10,737.16,3.0,2,4,2,1,2,2,2,1,3,11,4,1
35,3,9,790.33,5.0,2,4,2,1,5,4,5,5,3,7,1,1
29,2,14,223.56,3.0,2,0,0,1,3,2,4,4,3,5,2,1
33,2,14,562.12,2.0,1,6,0,1,1,2,2,1,1,1,3,0
28,2,0,654.37,1.0,0,7,0,1,1,2,2,1,1,0,1,0
24,2,0,700.97,1.0,0,4,2,1,1,1,1,1,1,1,0,0
30,6,5,593.69,3.0,2,4,2,1,3,4,3,2,4,5,1,1
36,2,14,455.67,1.0,0,0,0,1,1,1,1,1,1,0,4,0
19,6,13,446.27,3.0,2,5,0,0,1,1,3,4,3,3,4,1
31,4,16,331.65,3.0,2,0,0,0,3,3,3,4,2,5,4,1
39,0,20,1237.91,2.0,0,6,0,1,2,1,1,1,3,2,1,0
41,3,7,995.18,4.0,2,3,1,1,5,4,3,2,2,8,4,1
20,5,4,1179.5228758169935,5.0,2,0,0,1,4,4,5,5,5,7,2,1
37,1,11,961.15,3.0,2,3,1,1,4,3,3,2,2,4,4,2
30,3,7,403.04,5.0,2,6,0,0,4,5,2,4,4,6,4,1
40,0,18,755.52,3.0,2,7,0,1,2,3,3,2,3,7,0,2
41,0,18,917.56,3.0,2,5,0,1,4,2,3,2,4,4,1,2
32,1,12,998.91,1.0,0,0,0,1,2,1,1,1,1,0,3,0
30,0,19,1132.2435897435896,1.0,0,6,0,0,1,1,1,1,1,2,1,0
32,3,9,411.73,4.0,2,5,0,1,5,4,3,5,3,5,4,1
40,5,3,978.49,1.0,1,6,0,1,1,1,2,1,2,1,4,0
33,0,21,927.63,5.0,2,0,0,0,4,4,5,4,4,1,3,2
36,4,15,425.95,4.0,2,0,0,1,2,5,3,3,2,8,3,1
27,2,0,621.04,3.0,1,2,0,1,1,4,2,4,2,2,0,0
29,3,9,428.29,4.0,1,6,0,1,4,3,3,2,4,3,4,1
39,4,16,348.3,4.0,2,1,3,1,5,2,5,3,4,6,4,1
35,4,15,233.26975476839237,4.0,2,5,0,1,3,5,5,4,5,4,0,1
25,4,15,561.37,3.0,2,6,0,0,2,1,2,3,4,5,0,1
35,5,2,1340.88,3.0,2,6,0,0,3,3,3,5,4,5,3,1
38,3,7,988.64,4.0,2,3,1,1,3,2,2,5,4,4,0,1
18,3,8,883.32,1.0,0,3,1,1,2,1,2,1,2,4,3,0
49,1,10,863.05,5.0,2,6,0,0,5,5,3,5,4,3,0,1
32,0,19,1009.37,4.0,2,7,0,1,1,1,3,3,4,2,0,2
40,6,13,486.93,3.0,1,4,2,1,3,1,2,3,2,1,2,0
22,6,17,261.64,4.0,2,1,3,1,2,4,1,5,5,3,1,1
36,5,4,735.37,5.0,2,1,3,1,4,3,4,4,5,5,0,1
30,5,2,749.94,2.0,1,0,0,1,2,1,1,2,1,2,2,0
32,1,10,938.52,5.0,2,7,0,1,5,5,5,4,4,6,2,1
24,6,17,266.5,3.0,2,6,0,1,1,2,5,1,1,6,4,1
23,2,14,645.36,5.0,2,1,3,0,3,5,5,5,5,4,0,1
18,4,16,431.71,5.0,2,2,0,0,4,5,5,4,3,4,4,1
31,6,5,648.29,5.0,2,5,0,0,5,5,5,4,5,3,0,1
18,6,17,353.21,3.0,1,2,0,1,4,2,3,1,3,1,2,0
41,6,13,605.93,5.0,2,5,0,0,4,5,5,5,5,5,4,1
25,5,2,1297.39,4.0,2,0,0,1,3,4,5,2,4,8,1,1
27,1,10,969.13,2.0,1,2,0,1,3,2,1,2,1,3,4,0
35,1,11,743.2,4.0,2,3,1,1,3,3,4,4,4,5,1,1
18,6,5,443.09,3.0,2,0,0,1,3,3,3,2,3,7,3,1
33,1,10,571.97,4.0,2,1,3,1,4,5,2,4,4,7,3,1
28,4,16,546.68,4.0,2,5,0,1,5,3,2,3,4,8,0,1
20,5,2,1238.85,3.0,1,0,0,0,4,3,3,2,2,1,2,0
37,1,11,1076.85,1.0,1,5,0,1,1,1,1,1,1,2,1,0
40,3,9,573.66,4.0,2,7,0,1,3,5,5,3,3,7,1,1
21,1,11,751.38,5.0,2,3,1,1,2,5,5,4,4,3,0,1
22,6,17,657.5,1.0,0,1,3,1,1,1,1,1,1,2,1,0
25,5,3,1021.33,2.0,1,5,0,1,1,3,3,1,3,1,3,0
29,6,13,589.02,4.0,2,5,0,1,4,4,2,4,3,1,0,1
40,3,7,612.26,4.0,2,5,0,1,2,3,4,2,3,5,3,1
19,6,13,676.7,3.0,2,0,0,1,1,2,2,2,3,2,2,0
43,1,11,1045.66,4.0,2,2,0,1,4,3,4,3,4,8,3,2
34,3,9,605.66,4.0,2,2,0,1,3,3,3,5,4,4,0,1
28,2,14,426.42,4.0,2,3,1,1,3,2,3,4,3,4,0,1
32,6,5,669.03,2.0,0,0,0,1,2,1,1,1,3,1,1,0
26,3,9,879.35,4.0,2,3,1,1,3,2,5,5,3,5,0,1
18,3,7,924.39,5.0,2,3,1,1,5,5,4,4,3,2,0,1
27,5,1,489.76000000000005,1.0,0,4,2,1,1,1,1,2,1,1,1,0
19,0,20,832.98,2.0,0,0,0,1,1,1,3,2,2,0,3,0
21,0,18,905.65,5.0,2,1,3,1,4,5,5,4,4,8,2,2
43,3,9,866.06,1.0,0,4,2,1,1,1,1,1,1,2,1,0
34,5,4,1148.96,3.0,2,6,0,1,3,4,2,2,2,9,3,1
37,4,16,367.63,5.0,2,4,2,1,3,5,5,5,4,7,1,1
24,3,9,933.31,5.0,2,5,0,0,3,5,5,4,5,4,3,1
51,2,14,299.3,2.0,1,5,0,0,2,1,1,1,1,4,2,0
31,5,4,1119.25,1.0,0,3,1,1,1,1,3,2,1,5,2,0
41,1,10,855.03,4.0,2,2,0,0,5,3,5,1,4,4,0,2
25,3,8,633.56,1.0,1,1,3,0,1,1,1,1,1,1,4,0
21,3,8,709.33,2.0,1,4,2,1,1,2,2,1,2,2,2,0
23,3,9,419.0,1.0,0,4,2,1,2,1,1,1,2,1,1,0
46,4,15,196.77,4.0,2,5,0,1,5,2,2,3,3,8,0,1
39,4,16,371.37,3.0,2,7,0,1,3,2,2,2,3,6,3,1
43,5,4,416.03,2.0,0,6,0,1,1,2,1,2,2,0,0,0
27,6,13,490.86,3.0,1,2,0,1,3,3,2,3,2,4,1,0
35,1,11,953.87,3.0,2,0,0,1,1,2,2,1,2,3,0,2
30,1,12,961.44,4.0,2,6,0,0,3,3,4,4,4,8,4,2
42,0,18,1450.54,3.0,2,5,0,0,1,3,2,2,3,7,4,2
32,5,4,1201.84,4.0,2,5,0,1,5,3,5,2,5,2,4,1
18,4,15,379.21,4.0,2,1,3,1,2,4,3,5,5,4,0,1
26,0,19,1253.38,2.0,1,1,3,1,1,2,2,2,2,4,4,2
22,0,20,1473.36,4.0,1,4,2,1,3,1,5,3,4,2,3,2
18,2,14,783.11,3.0,2,1,3,1,3,4,3,3,4,3,4,2
29,6,17,669.96,3.0,2,6,0,1,3,4,2,3,2,2,4,1
18,6,13,210.92,2.0,1,6,0,1,1,3,1,2,1,3,2,0
30,6,13,507.53,3.0,0,1,3,0,4,2,3,2,4,1,3,0
31,6,5,699.4,3.0,2,6,0,0,2,1,1,3,2,6,1,1
30,0,20,1348.55,1.0,0,4,2,1,1,2,1,1,1,2,0,0
29,0,20,1481.97,4.0,0,4,2,1,4,2,4,5,5,1,3,2
29,1,12,708.1800000000001,4.0,2,4,2,1,5,4,5,5,3,4,0,1
29,3,7,771.39,4.0,2,0,0,0,5,4,4,2,4,4,0,1
22,5,4,1267.06,3.0,2,3,1,1,3,3,4,5,5,3,0,1
18,4,15,342.24,4.0,2,1,3,1,2,3,2,1,4,4,2,1
45,4,16,464.2875816993464,4.0,2,0,0,1,4,4,3,2,3,3,4,1
31,5,4,747.8188405797102,2.0,1,2,0,0,1,1,1,1,1,3,3,0
28,2,6,680.08,5.0,2,4,2,0,4,5,3,5,5,4,0,1
20,1,12,920.94,3.0,2,1,3,1,4,3,3,2,2,7,1,2
27,6,5,575.9,1.0,2,7,0,0,1,1,1,1,1,2,1,0
24,3,9,501.36,3.0,2,4,2,0,1,3,2,1,3,4,0,1
48,4,15,450.44,2.0,0,5,0,1,2,3,1,2,1,0,1,0
31,5,1,835.01,3.0,2,7,0,1,3,3,1,5,3,4,3,1
25,6,17,224.65,3.0,2,0,0,1,2,3,2,4,3,5,2,1
28,3,9,998.49,4.0,2,0,0,1,4,4,5,5,4,4,4,1
23,2,6,695.83,2.0,1,2,0,1,1,1,1,2,2,2,4,0
26,2,0,783.54,2.0,2,6,0,1,3,3,1,2,1,5,0,1
39,1,10,775.58,4.0,2,1,3,1,4,3,2,4,2,5,3,1
18,6,13,621.86,4.0,2,2,0,1,4,3,2,4,3,3,4,1
24,4,16,200.58,2.0,1,5,0,1,2,3,1,2,3,3,3,0
21,5,4,752.48,4.0,2,6,0,1,2,4,5,5,4,5,1,1
30,2,14,388.5,2.0,0,4,2,1,1,2,1,1,1,2,3,0
30,0,18,815.39,3.0,1,4,2,1,3,2,2,2,3,2,1,0
